MOIS,JOUR,CA
January             ,         5,     375.1
January             ,         6,    916.38
January             ,         7,    1750.9
January             ,         8,    449.78
January             ,         9,    712.29
January             ,        10,   1434.87
January             ,        11,   1855.27
January             ,        12,   1785.14
January             ,        13,   2070.68
January             ,        14,    876.89
January             ,        15,   2547.06
January             ,        16,   3954.35
January             ,        17,   3592.42
January             ,        18,   3173.89
January             ,        19,   4135.54
January             ,        20,    4648.7
January             ,        21,   3585.61
January             ,        22,   3311.97
January             ,        23,   7187.55
January             ,        24,   6316.89
January             ,        25,   7203.96
January             ,        26,  14295.91
January             ,        27,  12571.96
January             ,        28,   4547.02
January             ,        29,    5011.7
January             ,        30,  17165.24
January             ,        31,  11621.73
February            ,         1,   7740.66
February            ,         2,   8007.36
February            ,         3,   9776.53
February            ,         4,  14128.87
February            ,         5,      9033
February            ,         6,   8591.41
February            ,         7,  15006.14
February            ,         8,  12020.45
February            ,         9,   8834.46
February            ,        10,  13411.96
February            ,        11,   4534.95
February            ,        12,  14966.85
February            ,        13,  10712.33
February            ,        14,  12010.72
February            ,        15,   6381.67
February            ,        16,   5950.77
February            ,        17,    8235.2
February            ,        18,   7150.42
February            ,        19,   3335.68
February            ,        20,   7468.55
February            ,        21,   7767.56
February            ,        22,   6087.19
February            ,        23,   8170.59
February            ,        24,   7065.71
February            ,        25,   4132.63
February            ,        26,   5355.79
February            ,        27,   6397.69
February            ,        28,   8001.22
March               ,         1,  13257.65
March               ,         2,   9872.96
March               ,         3,  11573.07
March               ,         4,   9267.37
March               ,         5,   7223.21
March               ,         6,   9416.39
March               ,         7,  12852.32
March               ,         8,  14146.94
March               ,         9,  13161.69
March               ,        10,  12556.15
March               ,        11,  11590.56
March               ,        12,   6747.18
March               ,        13,  15889.21
March               ,        14,  16288.17
March               ,        15,  14478.97
March               ,        16,  16559.23
March               ,        17,  11562.58
March               ,        18,  16457.79
March               ,        19,   6918.94
March               ,        20,  17300.03
March               ,        21,  11707.62
March               ,        22,  13138.99
March               ,        23,  19149.07
March               ,        24,   10244.4
March               ,        25,   10295.8
March               ,        26,   6184.23
March               ,        27,  16081.13
March               ,        28,  11981.75
March               ,        29,   8861.24
March               ,        30,  11017.59
March               ,        31,  11699.91
April               ,         1,  17614.68
April               ,         2,   11989.5
April               ,         3,   9328.96
April               ,         4,   13004.8
April               ,         5,  17912.03
April               ,         6,  16562.13
April               ,         7,   12664.4
April               ,         8,   8844.63
April               ,         9,   8250.84
April               ,        10,  11887.74
April               ,        11,   7320.15
April               ,        12,   7501.72
April               ,        13,  10114.61
April               ,        14,   6762.61
April               ,        15,   7416.29
April               ,        16,   4993.86
April               ,        17,   7061.08
April               ,        18,  22508.21
April               ,        19,  12505.61
April               ,        20,  12935.13
April               ,        21,   9084.95
April               ,        22,  13642.39
April               ,        23,  10141.23
April               ,        24,  13594.21
April               ,        25,  14317.89
April               ,        26,  16212.05
April               ,        27,   9576.22
April               ,        28,  16546.49
April               ,        29,  13184.14
April               ,        30,   8296.31
May                 ,         1,  11817.22
May                 ,         2,  18227.58
May                 ,         3,  10226.21
May                 ,         4,   14384.7
May                 ,         5,  14470.62
May                 ,         6,  14574.66
May                 ,         7,   16264.8
May                 ,         8,  16968.81
May                 ,         9,  26541.11
May                 ,        10,  23438.14
May                 ,        11,  18348.13
May                 ,        12,     12475
May                 ,        13,   8272.14
May                 ,        14,   13447.1
May                 ,        15,  20159.73
May                 ,        16,  22998.78
May                 ,        17,  18946.82
May                 ,        18,  19619.29
May                 ,        19,  20886.62
May                 ,        20,   11075.6
May                 ,        21,  17532.32
May                 ,        22,  24307.59
May                 ,        23,  18084.95
May                 ,        24,  24190.57
May                 ,        25,  15160.28
May                 ,        26,  11425.03
May                 ,        27,  15620.64
May                 ,        28,   9438.42
May                 ,        29,  17834.73
May                 ,        30,  16253.52
May                 ,        31,  19753.33
June                ,         1,  19069.39
June                ,         2,  18508.23
June                ,         3,  11750.91
June                ,         4,  13844.62
June                ,         5,  23640.53
June                ,         6,  14268.28
June                ,         7,  12478.05
June                ,         8,  21469.54
June                ,         9,     15314
June                ,        10,   8265.69
June                ,        11,  14701.41
June                ,        12,  16945.91
June                ,        13,  13603.61
June                ,        14,  18786.77
June                ,        15,  11943.71
June                ,        16,  11611.99
June                ,        17,  11726.72
June                ,        18,  15693.89
June                ,        19,  23738.41
June                ,        20,  11750.68
June                ,        21,    6208.4
June                ,        22,   7954.27
June                ,        23,   12897.4
June                ,        24,   7589.73
June                ,        25,  14547.71
June                ,        26,     13725
June                ,        27,  17405.37
June                ,        28,  16412.96
June                ,        29,  12670.32
June                ,        30,  12818.99
July                ,         1,  12803.53
July                ,         2,   11552.9
July                ,         3,  16793.94
July                ,         4,  15374.87
July                ,         5,  21477.03
July                ,         6,  22742.33
July                ,         7,   14079.7
July                ,         8,  10226.14
July                ,         9,   8395.06
July                ,        10,  16120.86
July                ,        11,  21226.14
July                ,        12,  19546.49
