ANNEE,MOIS,CA,,MOIS
2016,January,,,January             
2016,February,,,February            
2016,March,,,March               
2016,April,,,April               
2016,May,,,May                 
2016,June,,,June                
2016,July,,,July                
2016,August,,,August              
2016,September,269.94,,September           
2016,October,40777.86,,October             
2016,December,10.9,,December            
2017,January,127098.8,,January             
2017,February,240276.36,,February            
2017,March,377482.14,,March               
2017,April,351774.86,,April               
2017,May,522744.44,,May                 
2017,June,431342.49,,June                
2017,July,516954.78,,July                
2017,August,583953.49,,August              
2017,September,695770.02,,September           
2017,October,716678.57,,October             
2017,November,1097950.51,,November            
2017,December,757984,,December            
2018,January,986066.52,,January             
2018,February,906538.86,,February            
2018,March,1022493.72,,March               
2018,April,1053530.81,,April               
2018,May,1054375.92,,May                 
2018,June,918330.71,,June                
2018,July,906407.09,,July                
2018,August,898263.74,,August              
2018,September,,,September
2018,October,,,October
2018,November,,,November
2018,December,,,December            
