Référence du produit, Catégorie, Jours de livraison, Chiffre d"affaire
8a3254bee785a526d548a81a9bc3c9be,construcao_ferramentas_construcao,13,.85
8a3254bee785a526d548a81a9bc3c9be,construcao_ferramentas_construcao,10,.85
8a3254bee785a526d548a81a9bc3c9be,construcao_ferramentas_construcao,8,1.7
46fce52cef5caa7cc225a5531c946c8b,beleza_saude,4,2.2
310dc32058903b6416c71faff132df9e,papelaria,5,2.29
680cc8535be7cc69544238c1d6a83fe8,pet_shop,11,2.9
2e8316b31db34314f393806fd7b6e185,papelaria,14,2.99
44d53f1240d6332232e4393c06500475,,12,3
44d53f1240d6332232e4393c06500475,,7,3
1716ea399ed8ee62ba811e6f55180f45,automotivo,9,3.49
