CATEGORIE,CA,CATEGORIE
automotivo                              ,126959.94,automotivo
bebes                                   ,102685.57,bebes
beleza_saude                            ,315637.62,beleza_saude
cama_mesa_banho                         ,307614.03,cama_mesa_banho
cool_stuff                              ,81853.01,cool_stuff
esporte_lazer                           ,219609.29,esporte_lazer
informatica_acessorios                  ,268030.66,informatica_acessorios
moveis_decoracao                        ,182057.45,moveis_decoracao
relogios_presentes                      ,246050.24,relogios_presentes
utilidades_domesticas                   ,190993.32,utilidades_domesticas
