"categorie","mois","v_reg","c_reg","ca"
"agro_industry_and_commerce","Aout","MG","BA","1134.43994140625"
"agro_industry_and_commerce","Aout","MG","MG","164.2899932861328"
"agro_industry_and_commerce","Aout","PR","SP","1124.6599884033203"
"agro_industry_and_commerce","Aout","SC","PR","47.62000274658203"
"agro_industry_and_commerce","Aout","SP","MG","1978.1800537109375"
"agro_industry_and_commerce","Aout","SP","RJ","28.219999313354492"
"agro_industry_and_commerce","Aout","SP","RO","224.60000610351562"
"agro_industry_and_commerce","Aout","SP","SP","1066.329978942871"
"agro_industry_and_commerce","Avril","PR","AL","1518.550048828125"
"agro_industry_and_commerce","Avril","PR","BA","499.6400146484375"
"agro_industry_and_commerce","Avril","PR","MG","433.4599914550781"
"agro_industry_and_commerce","Avril","PR","PR","432.3999938964844"
"agro_industry_and_commerce","Avril","PR","SC","693.3499908447266"
"agro_industry_and_commerce","Avril","PR","SP","244.47999572753906"
"agro_industry_and_commerce","Avril","SP","RS","100.12000274658203"
"agro_industry_and_commerce","Avril","SP","SP","861.6599731445312"
"agro_industry_and_commerce","Decembre","PR","MG","442.260009765625"
"agro_industry_and_commerce","Decembre","PR","PE","485.760009765625"
"agro_industry_and_commerce","Decembre","PR","SP","1753.2499694824219"
"agro_industry_and_commerce","Decembre","RS","PI","301.760009765625"
"agro_industry_and_commerce","Decembre","SP","RJ","2315.830078125"
"agro_industry_and_commerce","Decembre","SP","SP","365.17999267578125"
"agro_industry_and_commerce","Fevrier","PR","CE","1217.9099731445312"
"agro_industry_and_commerce","Fevrier","PR","GO","499.69000244140625"
"agro_industry_and_commerce","Fevrier","PR","MG","438.260009765625"
"agro_industry_and_commerce","Fevrier","PR","MS","556.130012512207"
"agro_industry_and_commerce","Fevrier","PR","MT","445.32000732421875"
"agro_industry_and_commerce","Fevrier","PR","PE","472.66998291015625"
"agro_industry_and_commerce","Fevrier","PR","PR","429.0899963378906"
"agro_industry_and_commerce","Fevrier","PR","RJ","1933.2000350952148"
"agro_industry_and_commerce","Fevrier","PR","SP","1804.25"
"agro_industry_and_commerce","Fevrier","SP","GO","39.77000045776367"
"agro_industry_and_commerce","Fevrier","SP","MG","171.3300018310547"
"agro_industry_and_commerce","Fevrier","SP","MS","38.040000915527344"
"agro_industry_and_commerce","Fevrier","SP","RJ","72.19999694824219"
"agro_industry_and_commerce","Fevrier","SP","SP","1006.4199714660645"
"agro_industry_and_commerce","Janvier","PR","MG","442.260009765625"
"agro_industry_and_commerce","Janvier","PR","PA","465.2300109863281"
"agro_industry_and_commerce","Janvier","PR","PR","432.5"
"agro_industry_and_commerce","Janvier","PR","RJ","401.20001220703125"
"agro_industry_and_commerce","Janvier","PR","RS","243.35000610351562"
"agro_industry_and_commerce","Janvier","PR","SP","1800.8899841308594"
"agro_industry_and_commerce","Janvier","RS","PE","997.3699951171875"
"agro_industry_and_commerce","Janvier","SP","PI","46.34000015258789"
"agro_industry_and_commerce","Janvier","SP","PR","33.599998474121094"
"agro_industry_and_commerce","Janvier","SP","SP","1541.5300559997559"
"agro_industry_and_commerce","Juillet","CE","PB","515.0800170898438"
"agro_industry_and_commerce","Juillet","MG","SP","137.02999877929688"
"agro_industry_and_commerce","Juillet","PR","MG","1221.5400085449219"
"agro_industry_and_commerce","Juillet","PR","SP","917.1199951171875"
"agro_industry_and_commerce","Juillet","RJ","MG","441.0400085449219"
"agro_industry_and_commerce","Juillet","RJ","RJ","48.30000305175781"
"agro_industry_and_commerce","Juillet","RS","PR","514.1099853515625"
"agro_industry_and_commerce","Juillet","RS","RJ","203.86000061035156"
"agro_industry_and_commerce","Juillet","RS","RS","975.5599975585938"
"agro_industry_and_commerce","Juillet","RS","SC","458.3600158691406"
"agro_industry_and_commerce","Juillet","RS","SP","101.92999267578125"
"agro_industry_and_commerce","Juillet","SP","GO","405.69000244140625"
"agro_industry_and_commerce","Juillet","SP","MA","614.6300048828125"
"agro_industry_and_commerce","Juillet","SP","PA","821.9299926757812"
"agro_industry_and_commerce","Juillet","SP","PI","80.91999816894531"
"agro_industry_and_commerce","Juillet","SP","RJ","99.33000183105469"
"agro_industry_and_commerce","Juillet","SP","SP","2378.319984436035"
"agro_industry_and_commerce","Juin","PR","RS","517.7000122070312"
"agro_industry_and_commerce","Juin","PR","SP","792.6500244140625"
"agro_industry_and_commerce","Juin","SP","CE","168.0500030517578"
"agro_industry_and_commerce","Juin","SP","GO","585.3200073242188"
"agro_industry_and_commerce","Juin","SP","MT","191.1300048828125"
"agro_industry_and_commerce","Juin","SP","PR","1475.400047302246"
"agro_industry_and_commerce","Juin","SP","SP","1534.8500022888184"
"agro_industry_and_commerce","Mai","PR","PR","453.5299987792969"
"agro_industry_and_commerce","Mai","PR","RJ","428.8299865722656"
"agro_industry_and_commerce","Mai","PR","SP","928.2100219726562"
